Orig Sort,industry_id_new,industry,industry_en,id_field,field_sort_key,field_name_de,field_name_en,sub_topic_sort,sub_topic_name_de,sub_topic_name_en,criteria_name_de,criteria_name_en,criteria_type_de,criteria_type_en,version,exclude_ghg,import_handler_ghg_exclusion,Ind_Cr_Id,,,industry_en,criteria_name_en
13,2,Forstwirtschaft,forestry_management,2_2,2,Klima,Climate,3,Klimaschutz,Climate protection,CO?-Entfernung,CO2 removal,Maßnahmen/Lösungen,Action/Solution,5,,5,2_5,,,forestry_management,CO2 removal
14,2,Forstwirtschaft,forestry_management,2_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,2_6,,,forestry_management,Carbon Footprint
15,2,Forstwirtschaft,forestry_management,2_3,3,Wertschöpfungskette,Value Chain,9,Mitarbeitende,Employees,Arbeitsbedingungen,Working conditions,Maßnahmen/Lösungen,Action/Solution,5,,7,2_7,,,forestry_management,Working conditions
345,3,Landmaschinenbau,agri_machinery,3_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,1,3_1,,,agri_machinery,Sustainable agricultural products
346,3,Landmaschinenbau,agri_machinery,3_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Ökosysteme,Ecosystems,Maßnahmen/Lösungen,Action/Solution,5,,2,3_2,,,agri_machinery,Ecosystems
347,3,Landmaschinenbau,agri_machinery,3_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,3,3_3,,,agri_machinery,Animal Welfare
348,3,Landmaschinenbau,agri_machinery,3_1,1,Natur,Nature,7,Schadstoffe,Pollution,Schadstoffe Boden,Pollution to Soil,Maßnahmen/Lösungen,Action/Solution,5,,4,3_4,,,agri_machinery,Pollution to Soil
349,3,Landmaschinenbau,agri_machinery,3_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Transport,Transportation,Maßnahmen/Lösungen,Action/Solution,5,,5,3_5,,,agri_machinery,Transportation
350,3,Landmaschinenbau,agri_machinery,3_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,3_6,,,agri_machinery,Carbon Footprint
351,3,Landmaschinenbau,agri_machinery,3_3,3,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Sharing,Sharing,Maßnahmen/Lösungen,Action/Solution,5,,7,3_7,,,agri_machinery,Sharing
25,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,4_1,,,protein,Plant-based nutrition
26,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,2,4_2,,,protein,Sustainable agricultural products
27,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,3,4_3,,,protein,Animal Welfare
28,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,4,4_4,,,protein,Food waste
29,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,4_5,,,protein,Climate neutral operation
30,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,4_6,,,protein,Carbon Footprint
31,4,"Fleisch-, Fisch- und Proteinverarbeitung",protein,4_3,3,Wertschöpfungskette,Value Chain,9,Mitarbeitende,Employees,Arbeitsbedingungen,Working conditions,Maßnahmen/Lösungen,Action/Solution,5,,7,4_7,,,protein,Working conditions
33,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,5_1,,,food_processing,Plant-based nutrition
34,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,2,5_2,,,food_processing,Sustainable agricultural products
35,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,3,5_3,,,food_processing,Food waste
36,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_1,1,Natur,Nature,7,Schadstoffe,Pollution,Schadstoffe Boden,Pollution to Soil,Maßnahmen/Lösungen,Action/Solution,5,,4,5_4,,,food_processing,Pollution to Soil
37,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,5_5,,,food_processing,Climate neutral operation
38,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,5_6,,,food_processing,Carbon Footprint
39,5,"Obst-, Gemüse- und Getreideverarbeitung",food_processing,5_3,3,Gesellschaft,Society,11,Gemeinschaften,Communities,Regionale Wirkung,Regional impact,Maßnahmen/Lösungen,Action/Solution,5,,7,5_7,,,food_processing,Regional impact
41,6,Milch- und Frischeprodukte,milk,6_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,6_1,,,milk,Plant-based nutrition
42,6,Milch- und Frischeprodukte,milk,6_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,2,6_2,,,milk,Sustainable agricultural products
43,6,Milch- und Frischeprodukte,milk,6_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,3,6_3,,,milk,Animal Welfare
44,6,Milch- und Frischeprodukte,milk,6_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,4,6_4,,,milk,Food waste
45,6,Milch- und Frischeprodukte,milk,6_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,6_5,,,milk,Climate neutral operation
46,6,Milch- und Frischeprodukte,milk,6_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,6_6,,,milk,Carbon Footprint
47,6,Milch- und Frischeprodukte,milk,6_3,3,Gesellschaft,Society,11,Gemeinschaften,Communities,Regionale Wirkung,Regional impact,Maßnahmen/Lösungen,Action/Solution,5,,7,6_7,,,milk,Regional impact
49,7,Back- und Süßwaren,baked_confectionery,7_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,7_1,,,baked_confectionery,Plant-based nutrition
50,7,Back- und Süßwaren,baked_confectionery,7_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,2,7_2,,,baked_confectionery,Sustainable agricultural products
51,7,Back- und Süßwaren,baked_confectionery,7_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,3,7_3,,,baked_confectionery,Food waste
52,7,Back- und Süßwaren,baked_confectionery,7_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Artenvielfalt,Diversity of species,Maßnahmen/Lösungen,Action/Solution,5,,4,7_4,,,baked_confectionery,Diversity of species
53,7,Back- und Süßwaren,baked_confectionery,7_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,7_5,,,baked_confectionery,Climate neutral operation
54,7,Back- und Süßwaren,baked_confectionery,7_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,7_6,,,baked_confectionery,Carbon Footprint
55,7,Back- und Süßwaren,baked_confectionery,7_3,3,Wertschöpfungskette,Value Chain,10,Lieferkette,Supply chain,Kooperation,Cooperation,Maßnahmen/Lösungen,Action/Solution,5,,7,7_7,,,baked_confectionery,Cooperation
65,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,1,8_1,,,caffeine_spices,Sustainable agricultural products
66,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Ökosysteme,Ecosystems,Maßnahmen/Lösungen,Action/Solution,5,,2,8_2,,,caffeine_spices,Ecosystems
67,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,3,8_3,,,caffeine_spices,Food waste
68,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_1,1,Natur,Nature,7,Schadstoffe,Pollution,Schadstoffe Boden,Pollution to Soil,Maßnahmen/Lösungen,Action/Solution,5,,4,8_4,,,caffeine_spices,Pollution to Soil
69,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,8_5,,,caffeine_spices,Climate neutral operation
70,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,8_6,,,caffeine_spices,Carbon Footprint
71,8,"Kaffee, Tee und Gewürze",caffeine_spices,8_3,3,Wertschöpfungskette,Value Chain,10,Lieferkette,Supply chain,Kooperation,Cooperation,Maßnahmen/Lösungen,Action/Solution,5,,7,8_7,,,caffeine_spices,Cooperation
73,9,Nahrungs- und Genussmittel,other_food,9_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,9_1,,,other_food,Plant-based nutrition
74,9,Nahrungs- und Genussmittel,other_food,9_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,2,9_2,,,other_food,Sustainable agricultural products
75,9,Nahrungs- und Genussmittel,other_food,9_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,3,9_3,,,other_food,Food waste
76,9,Nahrungs- und Genussmittel,other_food,9_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Artenvielfalt,Diversity of species,Maßnahmen/Lösungen,Action/Solution,5,,4,9_4,,,other_food,Diversity of species
77,9,Nahrungs- und Genussmittel,other_food,9_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,9_5,,,other_food,Climate neutral operation
78,9,Nahrungs- und Genussmittel,other_food,9_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,9_6,,,other_food,Carbon Footprint
79,9,Nahrungs- und Genussmittel,other_food,9_3,3,Gesellschaft,Society,12,Endkunden,End customers,Gesundheit,Health,Maßnahmen/Lösungen,Action/Solution,5,,7,9_7,,,other_food,Health
81,10,Getränkeindustrie,beverage,10_1,1,Ressourcen,Resources,6,Wasser,Water,Wassersparen,Water conservation,Maßnahmen/Lösungen,Action/Solution,5,,1,10_1,,,beverage,Water conservation
82,10,Getränkeindustrie,beverage,10_1,1,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Kreislauflösungen,Circular solutions,Maßnahmen/Lösungen,Action/Solution,5,,2,10_2,,,beverage,Circular solutions
83,10,Getränkeindustrie,beverage,10_1,1,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Verpackung,Packing,Maßnahmen/Lösungen,Action/Solution,5,,3,10_3,,,beverage,Packing
84,10,Getränkeindustrie,beverage,10_1,1,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Wiedernutzung und Recycling,Reuse and recycling,Maßnahmen/Lösungen,Action/Solution,5,,4,10_4,,,beverage,Reuse and recycling
85,10,Getränkeindustrie,beverage,10_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,10_5,,,beverage,Climate neutral operation
86,10,Getränkeindustrie,beverage,10_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,10_6,,,beverage,Carbon Footprint
87,10,Getränkeindustrie,beverage,10_3,3,Gesellschaft,Society,12,Endkunden,End customers,Gesundheit,Health,Maßnahmen/Lösungen,Action/Solution,5,,7,10_7,,,beverage,Health
89,11,Futtermittel und Tiernahrung,feed,11_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Agrarprodukte,Sustainable agricultural products,Maßnahmen/Lösungen,Action/Solution,5,,1,11_1,,,feed,Sustainable agricultural products
90,11,Futtermittel und Tiernahrung,feed,11_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,2,11_2,,,feed,Plant-based nutrition
91,11,Futtermittel und Tiernahrung,feed,11_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,3,11_3,,,feed,Animal Welfare
92,11,Futtermittel und Tiernahrung,feed,11_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Ökosysteme,Ecosystems,Maßnahmen/Lösungen,Action/Solution,5,,4,11_4,,,feed,Ecosystems
93,11,Futtermittel und Tiernahrung,feed,11_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Landwirtschafts-Emissionen,Agriculture emissions,Maßnahmen/Lösungen,Action/Solution,5,,5,11_5,,,feed,Agriculture emissions
94,11,Futtermittel und Tiernahrung,feed,11_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,11_6,,,feed,Carbon Footprint
95,11,Futtermittel und Tiernahrung,feed,11_3,3,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Verpackung,Packing,Maßnahmen/Lösungen,Action/Solution,5,,7,11_7,,,feed,Packing
449,12,Lebensmittel-Großhandel,food_wholesale,12_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,12_1,,,food_wholesale,Plant-based nutrition
450,12,Lebensmittel-Großhandel,food_wholesale,12_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Lebensmittel,Sustainable food,Maßnahmen/Lösungen,Action/Solution,5,,2,12_2,,,food_wholesale,Sustainable food
451,12,Lebensmittel-Großhandel,food_wholesale,12_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,3,12_3,,,food_wholesale,Food waste
452,12,Lebensmittel-Großhandel,food_wholesale,12_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,4,12_4,,,food_wholesale,Animal Welfare
453,12,Lebensmittel-Großhandel,food_wholesale,12_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Transport,Transportation,Maßnahmen/Lösungen,Action/Solution,5,,5,12_5,,,food_wholesale,Transportation
454,12,Lebensmittel-Großhandel,food_wholesale,12_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,12_6,,,food_wholesale,Carbon Footprint
455,12,Lebensmittel-Großhandel,food_wholesale,12_3,3,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Verpackung,Packing,Maßnahmen/Lösungen,Action/Solution,5,,7,12_7,,,food_wholesale,Packing
497,13,Lebensmittel-Einzelhandel,food_retail,13_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Pflanzenbasierte Ernährung,Plant-based nutrition,Maßnahmen/Lösungen,Action/Solution,5,,1,13_1,,,food_retail,Plant-based nutrition
498,13,Lebensmittel-Einzelhandel,food_retail,13_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Nachhaltige Lebensmittel,Sustainable food,Maßnahmen/Lösungen,Action/Solution,5,,2,13_2,,,food_retail,Sustainable food
499,13,Lebensmittel-Einzelhandel,food_retail,13_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Lebensmittelabfälle,Food waste,Maßnahmen/Lösungen,Action/Solution,5,,3,13_3,,,food_retail,Food waste
500,13,Lebensmittel-Einzelhandel,food_retail,13_1,1,Natur,Nature,8,Biodiversität,Biodiversity,Tierwohl,Animal Welfare,Maßnahmen/Lösungen,Action/Solution,5,,4,13_4,,,food_retail,Animal Welfare
501,13,Lebensmittel-Einzelhandel,food_retail,13_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,13_5,,,food_retail,Climate neutral operation
502,13,Lebensmittel-Einzelhandel,food_retail,13_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,13_6,,,food_retail,Carbon Footprint
503,13,Lebensmittel-Einzelhandel,food_retail,13_3,3,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Verpackung,Packing,Maßnahmen/Lösungen,Action/Solution,5,,7,13_7,,,food_retail,Packing
153,14,Pharmazeutische Industrie,pharmaceutical,14_1,1,Gesellschaft,Society,12,Endkunden,End customers,Gesundheit,Health,Maßnahmen/Lösungen,Action/Solution,5,,1,14_1,,,pharmaceutical,Health
154,14,Pharmazeutische Industrie,pharmaceutical,14_1,1,Gesellschaft,Society,12,Endkunden,End customers,Bezahlbarkeit,Affordability,Maßnahmen/Lösungen,Action/Solution,5,,2,14_2,,,pharmaceutical,Affordability
155,14,Pharmazeutische Industrie,pharmaceutical,14_1,1,Gesellschaft,Society,12,Endkunden,End customers,Soziale Wirkung,Social impact,Maßnahmen/Lösungen,Action/Solution,5,,3,14_3,,,pharmaceutical,Social impact
156,14,Pharmazeutische Industrie,pharmaceutical,14_1,1,Gesellschaft,Society,12,Endkunden,End customers,Verbraucherschutz,Consumer protection,Maßnahmen/Lösungen,Action/Solution,5,,4,14_4,,,pharmaceutical,Consumer protection
157,14,Pharmazeutische Industrie,pharmaceutical,14_2,2,Natur,Nature,8,Biodiversität,Biodiversity,Artenvielfalt,Diversity of species,Maßnahmen/Lösungen,Action/Solution,5,,5,14_5,,,pharmaceutical,Diversity of species
158,14,Pharmazeutische Industrie,pharmaceutical,14_3,3,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,6,14_6,,,pharmaceutical,Climate neutral operation
159,14,Pharmazeutische Industrie,pharmaceutical,14_3,3,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,7,14_7,,,pharmaceutical,Carbon Footprint
265,15,Medizintechnik,medical,15_1,1,Gesellschaft,Society,12,Endkunden,End customers,Gesundheit,Health,Maßnahmen/Lösungen,Action/Solution,5,,1,15_1,,,medical,Health
266,15,Medizintechnik,medical,15_1,1,Gesellschaft,Society,12,Endkunden,End customers,Soziale Wirkung,Social impact,Maßnahmen/Lösungen,Action/Solution,5,,2,15_2,,,medical,Social impact
267,15,Medizintechnik,medical,15_1,1,Gesellschaft,Society,12,Endkunden,End customers,Bezahlbarkeit,Affordability,Maßnahmen/Lösungen,Action/Solution,5,,3,15_3,,,medical,Affordability
268,15,Medizintechnik,medical,15_1,1,Gesellschaft,Society,12,Endkunden,End customers,Datenschutz,Data protection,Maßnahmen/Lösungen,Action/Solution,5,,4,15_4,,,medical,Data protection
269,15,Medizintechnik,medical,15_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,15_5,,,medical,Climate neutral operation
270,15,Medizintechnik,medical,15_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,15_6,,,medical,Carbon Footprint
271,15,Medizintechnik,medical,15_3,3,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Kreislauflösungen,Circular solutions,Maßnahmen/Lösungen,Action/Solution,5,,7,15_7,,,medical,Circular solutions
489,16,Apotheken und medizinischer Handel,pharmacy,16_1,1,Gesellschaft,Society,12,Endkunden,End customers,Gesundheit,Health,Maßnahmen/Lösungen,Action/Solution,5,,1,16_1,,,pharmacy,Health
490,16,Apotheken und medizinischer Handel,pharmacy,16_1,1,Gesellschaft,Society,12,Endkunden,End customers,Bezahlbarkeit,Affordability,Maßnahmen/Lösungen,Action/Solution,5,,2,16_2,,,pharmacy,Affordability
491,16,Apotheken und medizinischer Handel,pharmacy,16_1,1,Gesellschaft,Society,12,Endkunden,End customers,Soziale Wirkung,Social impact,Maßnahmen/Lösungen,Action/Solution,5,,3,16_3,,,pharmacy,Social impact
492,16,Apotheken und medizinischer Handel,pharmacy,16_1,1,Gesellschaft,Society,12,Endkunden,End customers,Verbraucherschutz,Consumer protection,Maßnahmen/Lösungen,Action/Solution,5,,4,16_4,,,pharmacy,Consumer protection
493,16,Apotheken und medizinischer Handel,pharmacy,16_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimaneutraler Betrieb,Climate neutral operation,Maßnahmen/Lösungen,Action/Solution,5,,5,16_5,,,pharmacy,Climate neutral operation
494,16,Apotheken und medizinischer Handel,pharmacy,16_2,2,Klima,Climate,3,Klimaschutz,Climate protection,Klimabilanz,Carbon Footprint,Indikator Kommentar (Maßnahme),Indicator Commentary (action),5,,6,16_6,,,pharmacy,Carbon Footprint
495,16,Apotheken und medizinischer Handel,pharmacy,16_3,3,Ressourcen,Resources,5,Kreislaufwirtschaft,Circular economy,Papier und Digital,Paper and digital,Maßnahmen/Lösungen,Action/Solution,5,,7,16_7,,,pharmacy,Paper and digital
705,17,Gesundheitsversorgung,health_care,17_1,1,Gesellschaft,Society,12,Endkunden,End customers,Gesundheit,Health,Maßnahmen/Lösungen,Action/Solution,5,,1,17_1,,,health_care,Health
706,17,Gesundheitsversorgung,health_care,17_1,1,Gesellschaft,Society,12,Endkunden,End customers,Bezahlbarkeit,Affordability,Maßnahmen/Lösungen,Action/Solution,5,,2,17_2,,,health_care,Affordability
707,17,Gesundheitsversorgung,health_care,17_1,1,Gesellschaft,Society,12,Endkunden,End customers,Soziale Wirkung,Social impact,Maßnahmen/Lösungen,Action/Solution,5,,3,17_3,,,health_care,Social impact
